driverId,name,ssn,location,certified,wage-plan
10,Margaret Obrien,068-73-3336,"6145 Angela Groves
West Kylestad, ND 98127",Y,hours
11,Lynn Hull,658-97-4725,"29456 Rivas Pass
South Jamestown, VI 72135",Y,hours
12,Martha Williams,194-01-8393,"857 Patton Wells
North Alexandraton, SC 83882",Y,hours
13,Deborah Rivera,417-96-2141,"172 Mitchell Pine
New Laurahaven, NM 34005",Y,hours
14,Christian Cunningham,526-35-1349,"2297 Stephanie Unions
Marshallfurt, TN 91325",N,hours
15,James Hansen,792-37-9817,"7057 Torres Circles
Leviport, KY 58299",Y,hours
16,Donna Novak MD,496-40-3412,"6490 Elizabeth Drive Apt. 605
South Sharon, UT 93188",Y,hours
17,Brenda James,619-20-9127,"6844 Thomas Tunnel
Lake Debbiemouth, FL 74165",N,hours
18,Timothy Chen Jr.,699-13-4447,"012 Martin Court
Rodriguezbury, HI 48412",N,miles
19,David Chavez Jr.,736-14-7797,"377 Baker Valleys
South Gregorymouth, IL 50066",N,miles
20,Mr. Jason Robles MD,338-32-7806,"496 Baker Club Suite 315
Lake Taylor, MT 86278",Y,hours
21,Kirk Green,208-36-9926,"82376 Angela Forest Apt. 451
Port Davidstad, PA 89054",N,miles
22,Kevin Rodriguez,111-73-9386,"Unit 0560 Box 4298
DPO AE 99198",N,miles
23,Donna Simmons,517-22-2439,"27839 Morgan Mission
North Ethan, OR 01394",N,miles
24,Jasmine York,328-59-5326,"02298 Alisha Stream Suite 376
Brownside, GU 09140",Y,hours
25,Blake Stewart,006-36-1888,"44475 Jones Common
Madisonchester, AS 96204",Y,miles
26,Matthew Schneider,095-04-8722,"725 Michael Shores Suite 005
Alejandrofort, WY 50317",N,hours
27,Brian Lopez,843-65-4339,"1891 Johnson Lakes Apt. 977
East Brooke, MD 96455",Y,miles
28,Bryan Morris,595-30-2616,"8634 Herrera Vista
Jamesland, KY 96609",N,miles
29,Victor Hernandez,650-22-3426,"36607 Robert Via
Hendersonside, DE 37788",Y,miles
30,Lindsay Conley,198-42-4962,"568 Hodge Prairie Apt. 447
Danielbury, MD 36779",N,miles
31,Douglas Evans,088-50-5322,"337 Nancy Freeway
West Jennifer, AR 81311",Y,miles
32,Crystal Clark,448-20-7111,"USNS Turner
FPO AP 81209",Y,miles
33,Robert Stevens,630-36-6496,"04866 Jackson Mountain Apt. 249
Huberton, SD 07475",N,hours
